sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
1,1,03-04-2023,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,60000,CGST@9%,5400,SGST@9%,5400,,,70800,962,06-04-2023,A S Bearing,29BJKPP7596L1Z0,"4,700.00",CGST@9%,423,SGST@9%,423,,,"5,546.00"
2,2,05-04-2023,M/S BHARGAVI ENGINEERS & FABRICATORS,29ACGPS1337L2Z5,1800,CGST@9%,162,SGST@9%,162,,,2124,14394,06-04-2023,Industrial Hydraulics & tools,29AFCPH8418Q1ZT,"8,216.00",CGST@9%,739.44,SGST@9%,739.44,,,"9,695.00"
3,3,10-04-2023,M/s RHS Cranes & Components,29AAVFR6748P2ZR,3800,CGST@9%,342,SGST@9%,342,,,4484,8,06-04-2023,Royal Industrials Stores,29AJIPM5689G1ZJ,"3,750.00",CGST@9%,337.5,SGST@9%,337.5,,,"4,425.00"
4,4,11-04-2023,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,30000,CGST@9%,2700,SGST@9%,2700,,,35400,11,08-04-2023,Sri Vinayaka Industries,29AAOPN9277E1ZZ,"27,000.00",CGST@9%,"2,430.00",SGST@9%,"2,430.00",,,"31,860.00"
5,5,11-04-2023,M/S R.R.FOUNDERS,29AABFR5630G1Z8,7400,CGST@9%,666,SGST@9%,666,,,8732,1374,10-04-2023,A L Colours & Coats,29ABBFA2410J1ZS,960,CGST@9%,86.4,SGST@9%,86.4,,,"1,133.00"
6,6,11-04-2023,SUMUKA ENGINEERS,29ABCPN4906D1ZT,12500,CGST@9%,1125,SGST@9%,1125,,,14750,1708,05-07-2023,LASA ENGINEERS PVT LTD,29AAACL2878G1Z9,"71,936.00",CGST@9%,"6,474.24",SGST@9%,"6,474.24",,,"84,884.00"
7,7,26-04-2023,SUMUKA ENGINEERS,29ABCPN4906D1ZT,18600,CGST@9%,1674,SGST@9%,1674,,,21948,157,08-07-2023,M/s ML Gears,33AAUPL3828R1ZU,"34,500.00",,,,,IGST@18%,"6,210.00","40,710.00"
8,8,26-04-2023,ACE ENGINEERING TECHNOLIES INDIA PVT LTD,29AAICA0071C1Z3,5450,CGST@9%,490.5,SGST@9%,490.5,,,6431,188,09-07-2023,Thanusha Enterprises,29CHMPK0290E1ZI,"1,59,000.00",CGST@9%,"14,310.00",SGST@9%,"14,310.00",,,"1,87,620.00"
9,9,29-04-2023,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,195455,CGST@9%,17590.95,SGST@9%,17590.95,,,230637,157,13-07-2023,Sri Vinayaka Industries,29AAOPN9277E1ZZ,"1,25,044.00",CGST@9%,"11,253.96",SGST@9%,"11,253.96",,,"1,47,552.00"
10,10,29-04-2023,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,191468,CGST@9%,17232.12,SGST@9%,17232.12,,,225932,829,15-07-2023,KHS ENGINEERING TECHNOLOGIES,29470091273,"19,147.00",CGST@9%,"1,723.23",SGST@9%,"1,723.23",,,"22,593.00"
